id,tema,claim_sustentado,url_ou_referencia,data_consulta,tipo_fonte,escopo,versao,status_maturidade,disponibilidade,licenca,custo,episodios,ressalva
V01,Playlist,"A aula teórica cobre models; ref; tests; docs; snapshots; profiles e materializações conceitualmente.",https://www.youtube.com/watch?v=ZAgoqhlR95g,2026-09-01,vídeo do autor,playlist original,n/a,publicado,público,conteúdo do autor,gratuito,"auditoria;1",Validado por legendas automáticas e timestamps; termos podem conter erros de transcrição
V02,Playlist,"Entre 24:15 e 25:10 a aula defende mover transformações do BI para o pipeline/Gold.",https://www.youtube.com/watch?v=ZAgoqhlR95g,2026-09-01,vídeo do autor,playlist original,n/a,publicado,público,conteúdo do autor,gratuito,"auditoria;2;12",Resumo do argumento; não é transcrição literal
V03,Playlist,"Por volta de 45 minutos a aula relaciona qualidade do dado com confiabilidade de LLMs.",https://www.youtube.com/watch?v=ZAgoqhlR95g,2026-09-01,vídeo do autor,playlist original,n/a,publicado,público,conteúdo do autor,gratuito,"auditoria;12",Resumo do argumento; não é benchmark
V04,Playlist,"O hands-on 1 apresenta ferramentas e projeto; termina antes de criar os modelos anunciados.",https://www.youtube.com/watch?v=4TqyFTXbzIc,2026-09-01,vídeo do autor,playlist original,n/a,publicado,público,conteúdo do autor,gratuito,"auditoria;1",Conteúdo observado até aproximadamente 05:15
V05,Playlist,"O hands-on 2 configura Git; virtualenv; adapter; dbt init e profile; não implementa incremental.",https://www.youtube.com/watch?v=8AnaWYgeCuA,2026-09-01,vídeo do autor,playlist original,n/a,publicado,público,conteúdo do autor,gratuito,"auditoria;1;10",Título não corresponde ao conteúdo implementado
V06,Playlist,"O hands-on 3 configura targets/projeto e executa seeds; não implementa tests ou docs.",https://www.youtube.com/watch?v=W8sZcY3FbhE,2026-09-01,vídeo do autor,playlist original,n/a,publicado,público,conteúdo do autor,gratuito,"auditoria;1;6",Título não corresponde ao conteúdo implementado
V07,Playlist,"O hands-on 4 cria staging; ref; aliases e table/view; incremental e lineage ficam conceituais.",https://www.youtube.com/watch?v=CujFYRjXRXE,2026-09-01,vídeo do autor,playlist original,n/a,publicado,público,conteúdo do autor,gratuito,"auditoria;1;9;10",Incremental é descrito entre 17:45 e 18:20
V08,Playlist,"O hands-on 5 cria uma Gold e executa dbt run; não demonstra deploy; tests ou docs.",https://www.youtube.com/watch?v=NTZc7D4Zlok,2026-09-01,vídeo do autor,playlist original,n/a,publicado,público,conteúdo do autor,gratuito,"auditoria;1;2;9",Promete episódio posterior não presente na playlist auditada
P01,Projeto privado,"A auditoria foi fixada em commit específico e executada somente em leitura.",internal://projeto-privado/commit/0683a9f50cd156deeeb6649a071de5c008468287,2026-09-01,repositório privado autorizado,commit auditado,0683a9f,observado,privado,sem licença pública,n/a,"auditoria;1-12",Fonte não verificável pelo público; nenhum código é reproduzido
P02,Projeto privado,"Há dez projetos dbt e um template organizados por domínio.",internal://projeto-privado/dbt-projects,2026-09-01,repositório privado autorizado,arquitetura,0683a9f,observado,privado,sem licença pública,n/a,"auditoria;7;8",Contagem por dbt_project.yml; nomes omitidos
