order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
o1,1,p1,s1,2024-01-03 00:00:00,70.00,8.00
o1,2,p2,s2,2024-01-03 00:00:00,20.00,2.00
o2,1,p1,s1,2024-01-12 00:00:00,45.00,5.00
o3,1,p3,s3,2024-02-03 00:00:00,25.00,5.00
o4,1,p2,s2,2024-02-07 00:00:00,180.00,20.00
o5,1,p4,s4,2024-03-04 00:00:00,75.00,5.00
o6,1,p1,s1,2024-03-05 00:00:00,55.00,5.00
o6,2,p2,s2,2024-03-05 00:00:00,10.00,0.00
o7,1,p5,s5,2024-04-03 00:00:00,110.00,10.00
o8,1,p2,s2,2024-04-07 00:00:00,80.00,10.00
